Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

11:04:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:04:08 AM     all      0.25      0.00      0.00     49.11      0.25     50.38
11:04:09 AM     all      0.00      0.00      0.25     24.62      0.00     75.13
11:04:10 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:04:11 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:04:12 AM     all     16.40      0.00      6.35      1.06      0.53     75.66
11:04:13 AM     all     21.05      0.00      5.26      1.32      0.00     72.37
11:04:14 AM     all     22.83      0.00      3.94      1.05      0.26     71.92
11:04:15 AM     all     21.09      0.00      5.21      0.78      0.26     72.66
11:04:16 AM     all     21.75      0.00      4.77      1.59      0.00     71.88
11:04:17 AM     all     21.16      0.00      4.76      0.79      0.26     73.02
11:04:18 AM     all     21.78      0.00      4.46      1.05      0.26     72.44
11:04:19 AM     all     21.64      0.00      4.22      1.06      0.26     72.82
11:04:20 AM     all     21.64      0.00      4.22      1.06      0.26     72.82
11:04:21 AM     all     21.84      0.00      4.74      0.79      0.00     72.63
11:04:22 AM     all     22.80      0.00      4.40      1.04      0.26     71.50
11:04:23 AM     all     21.99      0.00      4.71      1.05      0.26     71.99
11:04:24 AM     all     20.79      0.00      5.26      1.05      0.26     72.63
11:04:25 AM     all     21.11      0.00      5.01      1.06      0.00     72.82
11:04:26 AM     all     21.05      0.00      4.74      0.53      0.53     73.16
11:04:27 AM     all     22.11      0.00      4.21      1.32      0.00     72.37
11:04:28 AM     all     22.57      0.00      3.94      1.31      0.26     71.92
11:04:29 AM     all     21.99      0.00      4.45      1.31      0.26     71.99
11:04:30 AM     all     21.47      0.00      4.97      1.31      0.00     72.25
11:04:31 AM     all     21.78      0.00      4.72      1.05      0.52     71.92
11:04:32 AM     all     22.11      0.00      4.21      0.79      0.00     72.89
11:04:33 AM     all     22.31      0.00      4.20      1.31      0.26     71.92
11:04:34 AM     all     21.05      0.00      5.00      1.05      0.26     72.63
11:04:35 AM     all     22.14      0.00      4.95      1.30      0.00     71.61
11:04:36 AM     all     21.41      0.00      4.96      1.04      0.26     72.32
11:04:37 AM     all     17.28      0.00      4.19     10.21      0.26     68.06
11:04:38 AM     all      4.35      0.00      1.53     24.04      0.51     69.57
11:04:39 AM     all      0.00      0.00      0.25     24.37      0.00     75.38
11:04:40 AM     all      0.25      0.00      0.00     24.37      0.00     75.38
11:04:41 AM     all      2.27      0.00      0.76     24.94      0.00     72.04
11:04:42 AM     all      0.00      0.00      0.25     24.37      0.25     75.13
11:04:43 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:04:44 AM     all      0.00      0.00      0.00     24.56      0.25     75.19
11:04:45 AM     all      0.00      0.00      0.00     24.43      0.00     75.57
11:04:46 AM     all      0.00      0.00      0.00     24.37      0.25     75.38
11:04:47 AM     all      0.00      0.00      0.00     24.69      0.00     75.31
11:04:48 AM     all      0.00      0.00      0.00     24.37      0.25     75.38
11:04:49 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:04:50 AM     all      2.52      0.00      0.50     29.22      0.25     67.51
11:04:51 AM     all      0.00      0.00      0.00     24.62      0.00     75.38
11:04:52 AM     all      0.25      0.00      0.00     24.31      0.25     75.19
11:04:53 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:04:54 AM     all      0.00      0.00      0.00     24.43      0.25     75.31
11:04:55 AM     all      0.00      0.00      0.00     24.43      0.00     75.57
11:04:56 AM     all      0.00      0.00      0.25     24.50      0.25     75.00
11:04:57 AM     all      0.25      0.00      0.00     24.37      0.00     75.38
11:04:58 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:04:59 AM     all      0.00      0.00      0.25     24.31      0.25     75.19
11:05:00 AM     all      0.00      0.00      0.25     24.69      0.00     75.06
11:05:01 AM     all      0.00      0.00      0.25     24.31      0.25     75.19
11:05:02 AM     all      0.00      0.00      0.00     24.69      0.00     75.31
11:05:03 AM     all      0.00      0.00      0.25     24.31      0.25     75.19
11:05:04 AM     all      1.76      0.00      0.75     27.39      0.25     69.85
11:05:05 AM     all      0.76      0.00      0.25     24.69      0.00     74.31
11:05:06 AM     all      0.00      0.00      0.00     24.37      0.25     75.38
11:05:07 AM     all      0.00      0.00      0.25     24.62      0.00     75.13
11:05:08 AM     all      0.00      0.00      0.25     24.31      0.25     75.19
11:05:09 AM     all      0.25      0.00      0.00     24.43      0.00     75.31
11:05:10 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:05:11 AM     all      0.00      0.00      0.00     24.56      0.25     75.19
11:05:12 AM     all      0.25      0.00      0.00     24.31      0.25     75.19
11:05:13 AM     all      2.27      0.00      0.76     32.07      0.00     64.90
11:05:14 AM     all      0.00      0.00      0.00     24.49      0.00     75.51
11:05:15 AM     all      9.14      0.00      2.03     27.92      0.25     60.66
11:05:16 AM     all     15.31      0.00      3.32     14.80      0.26     66.33
11:05:17 AM     all     22.16      0.00      3.87      1.03      0.00     72.94
11:05:18 AM     all     21.68      0.00      4.59      1.53      0.00     72.19
11:05:19 AM     all     22.05      0.00      4.10      1.28      0.26     72.31
11:05:20 AM     all     21.85      0.00      4.11      1.03      0.00     73.01
11:05:21 AM     all     20.82      0.00      4.88      1.29      0.26     72.75
11:05:22 AM     all     22.05      0.00      4.10      0.77      0.00     73.08
11:05:23 AM     all     20.77      0.00      5.13      1.28      0.26     72.56
11:05:24 AM     all     21.71      0.00      4.65      0.78      0.00     72.87
11:05:25 AM     all     22.34      0.00      4.16      1.04      0.26     72.21
11:05:26 AM     all     21.71      0.00      4.65      0.78      0.00     72.87
11:05:27 AM     all     20.93      0.00      5.43      0.78      0.26     72.61
11:05:28 AM     all     21.04      0.00      4.94      1.30      0.26     72.47
