Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

12:10:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:10:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:10:37 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
12:10:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:10:39 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
12:10:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:10:41 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
12:10:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:10:43 PM     all      3.95      0.00      1.32      0.53      0.00     94.21
12:10:44 PM     all      9.16      0.00      3.77      0.81      0.81     85.44
12:10:45 PM     all      8.42      0.00      3.80      0.82      0.27     86.68
12:10:46 PM     all      9.65      0.00      4.02      0.80      0.54     84.99
12:10:47 PM     all     10.93      0.00      3.47      0.53      0.53     84.53
12:10:48 PM     all      9.24      0.00      2.99      0.54      0.27     86.96
12:10:49 PM     all      9.97      0.00      3.77      0.81      0.54     84.91
12:10:50 PM     all     11.23      0.00      3.74      0.53      0.27     84.22
12:10:51 PM     all     10.48      0.00      2.42      0.81      0.54     85.75
12:10:52 PM     all      9.63      0.00      3.74      0.80      0.27     85.56
12:10:53 PM     all      9.89      0.00      3.74      0.27      0.27     85.83
12:10:54 PM     all     11.29      0.00      3.94      0.52      0.26     83.99
12:10:55 PM     all     10.90      0.00      2.93      0.80      0.27     85.11
12:10:56 PM     all      9.38      0.00      4.02      0.80      0.27     85.52
12:10:57 PM     all     10.48      0.00      2.42      0.54      0.27     86.29
12:10:58 PM     all      9.65      0.00      4.56      2.41      0.27     83.11
12:10:59 PM     all     11.05      0.00      3.68      0.26      0.26     84.74
12:11:00 PM     all      8.82      0.00      3.48      1.60      0.00     86.10
12:11:01 PM     all      9.07      0.00      4.53      0.53      0.53     85.33
12:11:02 PM     all      9.70      0.00      3.77      0.81      0.27     85.44
12:11:03 PM     all     10.70      0.00      3.74      0.80      0.27     84.49
12:11:04 PM     all     10.75      0.00      4.03      0.81      0.27     84.14
12:11:05 PM     all     11.11      0.00      2.71      0.81      0.54     84.82
12:11:06 PM     all     10.32      0.00      4.23      1.06      0.26     84.13
12:11:07 PM     all      9.37      0.00      3.03      0.28      0.28     87.05
12:11:08 PM     all      9.46      0.00      4.59      0.81      0.27     84.86
12:11:09 PM     all     10.88      0.00      3.71      0.53      0.53     84.35
12:11:10 PM     all     10.96      0.00      4.28      0.53      0.00     84.22
12:11:11 PM     all     11.02      0.00      2.96      0.81      0.54     84.68
12:11:12 PM     all     10.43      0.00      4.81      0.80      0.27     83.69
12:11:13 PM     all      8.87      0.00      3.23     10.75      0.27     76.88
12:11:14 PM     all      2.06      0.00      1.03     24.94      0.26     71.72
12:11:15 PM     all      2.04      0.00      1.27     25.45      0.25     70.99
12:11:16 PM     all      2.06      0.00      1.55     27.06      0.26     69.07
12:11:17 PM     all      2.06      0.00      0.26     26.03      0.00     71.65
12:11:18 PM     all      1.02      0.00      0.00     24.62      0.25     74.11
12:11:19 PM     all      1.26      0.00      0.51     24.75      0.25     73.23
12:11:20 PM     all      0.76      0.00      0.76     26.46      0.00     72.01
12:11:21 PM     all      3.34      0.00      1.29     26.22      0.26     68.89
12:11:22 PM     all      0.76      0.00      0.76     25.45      0.00     73.03
12:11:23 PM     all      4.13      0.00      1.55     27.91      0.26     66.15
12:11:24 PM     all      0.25      0.00      0.25     25.89      0.25     73.35
12:11:25 PM     all      1.02      0.00      0.51     26.14      0.00     72.34
12:11:26 PM     all      1.53      0.00      1.28     26.34      0.26     70.59
12:11:27 PM     all      1.79      0.00      1.02     25.26      0.26     71.68
12:11:28 PM     all      1.80      0.00      0.26     26.55      0.00     71.39
12:11:29 PM     all      1.52      0.00      1.27     26.58      0.25     70.38
12:11:30 PM     all      2.78      0.00      0.51     25.57      0.25     70.89
12:11:31 PM     all      2.04      0.00      1.28     26.02      0.00     70.66
12:11:32 PM     all      1.28      0.00      1.28     26.34      0.26     70.84
12:11:33 PM     all      3.04      0.00      0.25     26.08      0.00     70.63
12:11:34 PM     all      1.27      0.00      0.25     25.38      0.25     72.84
12:11:35 PM     all      1.02      0.00      0.25     25.19      0.25     73.28
12:11:36 PM     all      1.02      0.00      0.25     26.14      0.00     72.59
12:11:37 PM     all      1.53      0.00      0.77     28.64      0.00     69.05
12:11:38 PM     all      2.31      0.00      0.51     26.92      0.26     70.00
12:11:39 PM     all      1.01      0.00      0.00     29.62      0.25     69.11
12:11:40 PM     all      1.26      0.00      0.51     25.76      0.00     72.47
12:11:41 PM     all      1.02      0.00      0.00     41.73      0.25     57.00
12:11:42 PM     all      0.00      0.00      0.00     41.41      0.00     58.59
12:11:43 PM     all      0.00      0.00      0.00     24.62      0.25     75.13
12:11:44 PM     all      0.00      0.00      0.00     24.43      0.00     75.57
12:11:45 PM     all      3.62      0.00      0.78     28.17      0.26     67.18
12:11:46 PM     all      9.40      0.00      4.44      1.04      0.00     85.12
12:11:47 PM     all      9.57      0.00      2.93      0.53      0.27     86.70
12:11:48 PM     all     10.22      0.00      3.49      1.08      0.27     84.95
12:11:49 PM     all      9.70      0.00      4.31      0.54      0.27     85.18
12:11:50 PM     all      9.02      0.00      4.37      3.01      0.55     83.06
12:11:51 PM     all     10.03      0.00      3.79      1.63      0.27     84.28
12:11:52 PM     all      9.54      0.00      4.09      0.82      0.27     85.29
12:11:53 PM     all     11.11      0.00      3.70      0.53      0.26     84.39
12:11:54 PM     all     11.29      0.00      4.03      0.27      0.27     84.14
12:11:55 PM     all     11.90      0.00      3.44      0.79      0.53     83.33
12:11:56 PM     all      3.71      0.00      0.80     24.14      0.27     71.09
12:11:57 PM     all     10.11      0.00      3.19      0.80      0.27     85.64
12:11:58 PM     all     10.61      0.00      2.92      0.80      0.27     85.41
12:11:59 PM     all      9.97      0.00      3.77      0.54      0.27     85.44
12:12:00 PM     all     11.38      0.00      2.65      0.79      0.26     84.92
