Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

12:45:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:45:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:50 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
12:45:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:52 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
12:45:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:56 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
12:45:57 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
12:45:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:45:59 PM     all      1.56      0.00      0.52      0.00      0.26     97.66
12:46:00 PM     all      4.37      0.00      1.64      0.55      0.55     92.90
12:46:01 PM     all      3.56      0.00      2.19      0.27      0.27     93.70
12:46:02 PM     all      3.58      0.00      1.93      0.55      0.55     93.39
12:46:03 PM     all      3.79      0.00      2.44      0.54      0.54     92.68
12:46:04 PM     all      2.76      0.00      2.49      0.55      0.55     93.65
12:46:05 PM     all      2.17      0.00      1.63      0.81      0.27     95.12
12:46:06 PM     all      2.70      0.00      1.62      0.27      0.27     95.14
12:46:07 PM     all      1.63      0.00      1.36      0.54      0.54     95.92
12:46:08 PM     all      4.42      0.00      2.21      0.55      0.55     92.27
12:46:09 PM     all      4.96      0.00      1.38      0.83      0.55     92.29
12:46:10 PM     all      3.87      0.00      2.49      0.28      0.55     92.82
12:46:11 PM     all      4.86      0.00      2.16      0.54      0.27     92.16
12:46:12 PM     all      3.59      0.00      1.93      0.83      0.55     93.09
12:46:13 PM     all      5.51      0.00      1.93      0.55      0.28     91.74
12:46:14 PM     all      3.05      0.00      2.77      0.83      0.55     92.80
12:46:15 PM     all      4.41      0.00      2.75      0.55      0.55     91.74
