Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

01:13:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:13:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:13:57 PM     all      0.54      0.00      0.54      0.82      0.27     97.83
01:13:58 PM     all      1.37      0.00      1.10      0.55      0.55     96.44
01:13:59 PM     all      1.38      0.00      1.10      0.28      0.55     96.69
01:14:00 PM     all      1.66      0.00      0.55      0.55      0.28     96.96
01:14:01 PM     all      1.65      0.00      0.82      0.55      0.55     96.43
01:14:02 PM     all      1.38      0.00      0.83      0.28      0.55     96.96
01:14:03 PM     all      1.38      0.00      1.93      0.55      0.55     95.58
01:14:04 PM     all      1.67      0.00      1.39      0.56      0.28     96.11
01:14:05 PM     all      1.40      0.00      1.40      0.28      0.56     96.36
01:14:06 PM     all      0.84      0.00      1.12      0.56      0.56     96.92
01:14:07 PM     all      1.40      0.00      1.40      0.28      0.28     96.65
01:14:08 PM     all      1.94      0.00      1.11      0.55      0.55     95.84
01:14:09 PM     all      1.11      0.00      1.94      0.55      0.55     95.84
01:14:10 PM     all      0.84      0.00      1.68      0.56      0.56     96.37
01:14:11 PM     all      0.84      0.00      1.40      0.56      0.56     96.64
01:14:12 PM     all      1.40      0.00      0.84      0.84      0.56     96.37
01:14:13 PM     all      2.49      0.00      1.39      0.55      0.55     95.01
01:14:14 PM     all      1.94      0.00      1.39      0.56      0.56     95.56
01:14:15 PM     all      2.51      0.00      0.84      0.28      0.56     95.82
01:14:16 PM     all      1.40      0.00      0.84      0.28      0.28     97.19
01:14:17 PM     all      1.93      0.00      1.38      0.55      0.55     95.58
01:14:18 PM     all      1.12      0.00      1.40      0.56      0.28     96.64
01:14:19 PM     all      1.67      0.00      1.11      0.28      0.56     96.39
01:14:20 PM     all      1.66      0.00      1.39      0.55      0.83     95.57
01:14:21 PM     all      1.13      0.00      0.28      0.28      0.28     98.02
01:14:22 PM     all      1.67      0.00      1.11      0.56      0.56     96.10
01:14:23 PM     all      1.68      0.00      0.84      0.56      0.56     96.37
01:14:24 PM     all      1.67      0.00      1.39      0.56      0.56     95.82
01:14:25 PM     all      1.40      0.00      1.12      0.56      0.56     96.37
01:14:26 PM     all      1.40      0.00      1.40      0.56      0.56     96.09
01:14:27 PM     all      1.69      0.00      0.56      0.28      0.56     96.91
01:14:28 PM     all      0.84      0.00      1.39      0.28      0.56     96.94
01:14:29 PM     all      1.10      0.00      0.55      0.55      0.28     97.52
01:14:30 PM     all      0.28      0.00      0.83      0.56      0.56     97.78
01:14:31 PM     all      1.35      0.00      1.35      4.86      0.54     91.89
01:14:32 PM     all      0.53      0.00      0.79     25.53      0.26     72.89
01:14:33 PM     all      0.52      0.00      0.26     25.92      0.52     72.77
01:14:34 PM     all      0.25      0.00      0.76     25.06      0.00     73.92
01:14:35 PM     all      0.52      0.00      0.26     27.20      0.26     71.76
01:14:36 PM     all      0.51      0.00      0.51     25.19      0.25     73.54
01:14:37 PM     all      0.82      0.00      0.82     14.21      0.00     84.15
01:14:38 PM     all      1.65      0.00      1.93      2.20      0.83     93.39
01:14:39 PM     all      0.57      0.00      0.57      0.57      0.28     98.01
01:14:40 PM     all      1.39      0.00      1.39      0.83      0.56     95.83
01:14:41 PM     all      1.38      0.00      1.38      0.28      0.55     96.41
01:14:42 PM     all      1.38      0.00      1.66      0.83      0.55     95.58
01:14:43 PM     all      1.12      0.00      0.84      0.28      0.28     97.47
01:14:44 PM     all      1.12      0.00      1.12      0.28      0.56     96.92
01:14:45 PM     all      2.22      0.00      0.55      0.55      0.55     96.12
01:14:46 PM     all      1.67      0.00      1.39      0.56      0.28     96.11
01:14:47 PM     all      2.50      0.00      0.83      0.28      0.56     95.83
01:14:48 PM     all      1.66      0.00      1.11      0.55      0.55     96.12
01:14:49 PM     all      1.12      0.00      1.40      0.56      0.56     96.36
01:14:50 PM     all      1.12      0.00      0.84      0.28      0.56     97.21
01:14:51 PM     all      1.66      0.00      1.94      0.55      0.28     95.57
01:14:52 PM     all      1.93      0.00      1.93      0.28      0.55     95.32
01:14:53 PM     all      1.11      0.00      1.11      0.28      0.56     96.94
01:14:54 PM     all      0.84      0.00      0.84      0.56      0.28     97.48
01:14:55 PM     all      0.83      0.00      1.66      0.55      0.55     96.40
01:14:56 PM     all      1.39      0.00      1.11      0.28      0.56     96.67
01:14:57 PM     all      1.94      0.00      1.11      0.28      0.55     96.12
01:14:58 PM     all      1.66      0.00      1.11      0.55      0.28     96.40
01:14:59 PM     all      1.11      0.00      1.11      0.28      0.55     96.95
01:15:00 PM     all      1.65      0.00      0.55      0.55      0.27     96.98
01:15:01 PM     all      0.83      0.00      1.67      0.56      0.56     96.39
01:15:02 PM     all      1.92      0.00      0.82      0.82      0.55     95.88
01:15:03 PM     all      1.38      0.00      2.20      0.55      0.55     95.32
01:15:04 PM     all      0.85      0.00      0.28      0.00      0.57     98.30
01:15:05 PM     all      1.37      0.00      1.37      0.55      0.27     96.43
01:15:06 PM     all      0.83      0.00      0.83      0.55      0.83     96.97
01:15:07 PM     all      1.39      0.00      0.83     12.78      0.56     84.44
01:15:08 PM     all      1.31      0.00      0.52     25.59      0.26     72.32
01:15:09 PM     all      0.26      0.00      0.00     26.02      0.00     73.72
01:15:10 PM     all      0.78      0.00      0.00     25.59      0.26     73.37
01:15:11 PM     all      0.00      0.00      0.00     26.36      0.26     73.39
