Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

01:47:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:47:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:12 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
01:47:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:17 PM     all      0.26      0.00      0.00      0.00      0.26     99.48
01:47:18 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
01:47:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:20 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:21 PM     all      0.26      0.00      0.00      0.00      0.26     99.47
01:47:22 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:24 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:25 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:26 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:27 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:28 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:30 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
01:47:31 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:32 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:47:33 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:34 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:35 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
01:47:36 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:37 PM     all      0.00      0.00      0.53      0.27      0.27     98.93
01:47:38 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:39 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:40 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:47:41 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
01:47:42 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:43 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:44 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:45 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:47:46 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:47 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:47:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:47:49 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:50 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
01:47:51 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:52 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:47:53 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:54 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:55 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:56 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:57 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
01:47:58 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:47:59 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:00 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:48:02 PM     all      0.27      0.00      0.27      0.00      0.53     98.93
01:48:03 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:48:04 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:05 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:06 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
01:48:07 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
01:48:08 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:48:10 PM     all      0.00      0.00      0.00      0.00      0.53     99.47
01:48:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:48:12 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
01:48:13 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:14 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
01:48:15 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
01:48:16 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
