Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

02:43:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:43:42 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
02:43:43 PM     all      0.00      0.00      0.00      0.00      0.25     99.75
02:43:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:43:45 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
02:43:46 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
02:43:47 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
02:43:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:43:49 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
02:43:50 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
02:43:51 PM     all     30.65      0.00      7.01      1.30      0.00     61.04
02:43:52 PM     all      4.82      0.00      1.02     22.34      0.25     71.57
02:43:53 PM     all      8.65      0.00      1.02     17.05      0.00     73.28
02:43:54 PM     all     33.85      0.00      2.84      1.55      0.00     61.76
02:43:55 PM     all     44.05      0.00      4.81      1.01      0.25     49.87
02:43:56 PM     all     41.86      0.00      4.91      1.55      0.00     51.68
02:43:57 PM     all     40.41      0.00      3.11      1.30      0.00     55.18
02:43:58 PM     all     50.90      0.00      4.11      0.77      0.26     43.96
02:43:59 PM     all     39.85      0.00      4.37      1.29      0.00     54.50
02:44:00 PM     all     35.66      0.00      3.36      1.55      0.00     59.43
02:44:01 PM     all     50.00      0.00      6.44      1.03      0.00     42.53
02:44:02 PM     all     46.92      0.00      6.15      1.54      0.26     45.13
02:44:03 PM     all     25.39      0.00      1.55      1.30      0.00     71.76
02:44:04 PM     all     47.19      0.00      5.10      1.53      0.26     45.92
02:44:05 PM     all     48.59      0.00      7.20      1.03      0.00     43.19
02:44:06 PM     all     36.15      0.00      4.62      1.54      0.00     57.69
02:44:07 PM     all     35.14      0.00      3.36      1.55      0.00     59.95
02:44:08 PM     all     47.07      0.00      6.11      1.02      0.25     45.55
02:44:09 PM     all     49.10      0.00      6.43      1.03      0.00     43.44
02:44:10 PM     all     25.19      0.00      2.29      2.04      0.25     70.23
02:44:11 PM     all     47.44      0.00      6.67      1.03      0.00     44.87
02:44:12 PM     all     53.21      0.00      5.40      0.77      0.00     40.62
02:44:13 PM     all     32.90      0.00      3.60      1.54      0.26     61.70
02:44:14 PM     all     41.43      0.00      4.60      1.28      0.00     52.69
02:44:15 PM     all     46.91      0.00      6.44      1.29      0.00     45.36
02:44:16 PM     all     43.08      0.00      5.64      1.03      0.00     50.26
02:44:17 PM     all     28.50      0.00      2.85      1.55      0.26     66.84
02:44:18 PM     all     51.16      0.00      5.43      1.03      0.00     42.38
02:44:19 PM     all     48.46      0.00      5.90      1.28      0.26     44.10
02:44:20 PM     all     29.31      0.00      2.31      1.54      0.00     66.84
02:44:21 PM     all     43.12      0.00      3.90      1.04      0.00     51.95
02:44:22 PM     all     50.13      0.00      3.82      1.27      0.25     44.53
02:44:23 PM     all     28.76      0.00      3.63      5.44      0.00     62.18
02:44:24 PM     all     26.92      0.00      4.87     20.51      0.00     47.69
02:44:25 PM     all     13.74      0.00      1.78     24.17      0.25     60.05
02:44:26 PM     all     15.09      0.00      2.30     25.06      0.00     57.54
02:44:27 PM     all     16.50      0.00      3.55     25.63      0.00     54.31
02:44:28 PM     all     13.74      0.00      1.27     25.45      0.00     59.54
02:44:29 PM     all      6.57      0.00      0.76     29.80      0.25     62.63
02:44:30 PM     all     15.40      0.00      1.26     25.25      0.00     58.08
02:44:31 PM     all     13.45      0.00      1.52     28.93      0.00     56.09
02:44:32 PM     all     15.48      0.00      1.52     23.86      0.00     59.14
02:44:33 PM     all     24.49      0.00      2.55     21.43      0.00     51.53
02:44:34 PM     all     31.73      0.00      2.79      1.78      0.00     63.71
02:44:35 PM     all     41.01      0.00      3.29      1.52      0.25     53.92
02:44:36 PM     all     49.75      0.00      5.08      1.27      0.00     43.91
02:44:37 PM     all     45.57      0.00      4.30      1.27      0.00     48.86
02:44:38 PM     all     28.35      0.00      2.03      5.06      0.00     64.56
02:44:39 PM     all     34.45      0.00      6.17     15.94      0.26     43.19
02:44:40 PM     all     13.67      0.00      1.77     25.06      0.00     59.49
02:44:41 PM     all     11.96      0.00      0.76     24.17      0.00     63.10
02:44:42 PM     all      7.36      0.00      0.76     25.38      0.00     66.50
02:44:43 PM     all     12.24      0.00      1.28     25.26      0.00     61.22
