Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

03:19:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:59 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:20:00 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:20:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:20:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:20:03 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:20:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:20:05 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:20:06 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
03:20:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:20:08 PM     all      3.64      0.00      1.04      0.26      0.52     94.55
03:20:09 PM     all     12.33      0.00      1.34      1.34      0.27     84.72
03:20:10 PM     all     11.86      0.00      1.89      1.08      0.27     84.91
03:20:11 PM     all     19.36      0.00      2.39      1.06      0.53     76.66
03:20:12 PM     all     22.25      0.00      3.22      1.34      0.00     73.19
03:20:13 PM     all     24.54      0.00      2.37      0.53      0.53     72.03
03:20:14 PM     all     20.48      0.00      3.99      1.06      0.27     74.20
03:20:15 PM     all     14.32      0.00      1.86      1.06      0.27     82.49
03:20:16 PM     all     42.13      0.00      7.47      1.07      0.00     49.33
03:20:17 PM     all     17.40      0.00      3.12     13.51      0.26     65.71
03:20:18 PM     all      0.00      0.00      0.00     24.37      0.25     75.38
03:20:19 PM     all      0.00      0.00      0.00     24.56      0.00     75.44
03:20:20 PM     all      0.00      0.00      0.00     24.30      0.25     75.44
03:20:21 PM     all      5.43      0.00      1.03     17.05      0.00     76.49
03:20:22 PM     all     12.14      0.00      2.11      1.32      0.26     84.17
03:20:23 PM     all     21.67      0.00      2.09      1.04      0.26     74.93
03:20:24 PM     all     24.02      0.00      4.44      1.04      0.26     70.23
03:20:25 PM     all     23.82      0.00      2.36      0.79      0.26     72.77
03:20:26 PM     all     20.59      0.00      2.41      1.34      0.27     75.40
03:20:27 PM     all     28.61      0.00      3.41      1.05      0.26     66.67
03:20:28 PM     all     26.89      0.00      4.18      0.78      0.26     67.89
03:20:29 PM     all     24.14      0.00      4.24      1.33      0.00     70.29
03:20:30 PM     all     25.52      0.00      3.65      0.52      0.26     70.05
03:20:31 PM     all     14.47      0.00      3.10      1.03      0.26     81.14
03:20:32 PM     all     25.59      0.00      2.87      0.52      0.00     71.02
03:20:33 PM     all     27.13      0.00      1.81      0.78      0.52     69.77
03:20:34 PM     all     23.83      0.00      3.63      1.04      0.26     71.24
03:20:35 PM     all     23.48      0.00      3.17      0.79      0.00     72.56
03:20:36 PM     all     24.94      0.00      2.86      1.04      0.26     70.91
03:20:37 PM     all     19.00      0.00      2.90      1.32      0.26     76.52
03:20:38 PM     all     17.90      0.00      2.81      0.77      0.26     78.26
03:20:39 PM     all     26.04      0.00      3.91      1.30      0.26     68.49
03:20:40 PM     all     25.27      0.00      2.93      1.06      0.53     70.21
03:20:41 PM     all     24.74      0.00      4.17      1.04      0.26     69.79
03:20:42 PM     all     23.28      0.00      4.50      0.79      0.00     71.43
03:20:43 PM     all     22.22      0.00      3.25      0.81      0.54     73.17
03:20:44 PM     all     17.07      0.00      1.33      1.07      0.00     80.53
03:20:45 PM     all     12.66      0.00      2.58     23.26      0.26     61.24
03:20:46 PM     all      7.11      0.00      1.02     25.38      0.25     66.24
03:20:47 PM     all      5.14      0.00      0.51     25.45      0.00     68.89
03:20:48 PM     all      5.84      0.00      0.76     25.13      0.25     68.02
03:20:49 PM     all      5.88      0.00      1.79     25.06      0.00     67.26
03:20:50 PM     all      8.33      0.00     10.68     25.52      0.00     55.47
03:20:51 PM     all      2.30      0.00      0.26     26.28      0.26     70.92
03:20:52 PM     all      8.66      0.00      1.57     25.72      0.00     64.04
03:20:53 PM     all     19.52      0.00      2.14      1.07      0.53     76.74
03:20:54 PM     all     25.13      0.00      2.67      1.07      0.27     70.86
03:20:55 PM     all     25.13      0.00      3.66      0.79      0.26     70.16
03:20:56 PM     all     24.01      0.00      2.90      1.32      0.00     71.77
03:20:57 PM     all     24.48      0.00      4.43      2.60      0.00     68.49
03:20:58 PM     all      7.91      0.00      0.26     25.26      0.26     66.33
03:20:59 PM     all      5.41      0.00      1.03     25.52      0.26     67.78
03:21:00 PM     all      4.85      0.00      0.51     24.49      0.00     70.15
03:21:01 PM     all     18.23      0.00      3.65      5.99      0.52     71.61
03:21:02 PM     all     23.87      0.00      4.24      1.06      0.00     70.82
03:21:03 PM     all     24.41      0.00      4.20      1.05      0.26     70.08
03:21:04 PM     all     20.05      0.00      2.90      1.32      0.26     75.46
03:21:05 PM     all     18.52      0.00      1.59      1.06      0.26     78.57
03:21:06 PM     all     24.53      0.00      3.73      1.33      0.27     70.13
03:21:07 PM     all     24.67      0.00      3.71      1.06      0.27     70.29
03:21:08 PM     all     23.22      0.00      4.49      1.06      0.26     70.98
03:21:09 PM     all     23.68      0.00      4.47      0.79      0.00     71.05
03:21:10 PM     all     24.80      0.00      4.00      0.80      0.53     69.87
03:21:11 PM     all     18.04      0.00      3.18      1.06      0.27     77.45
03:21:12 PM     all     18.40      0.00      2.40      1.33      0.27     77.60
03:21:13 PM     all     23.88      0.00      4.46      1.31      0.26     70.08
03:21:14 PM     all     25.98      0.00      3.41      0.79      0.26     69.55
03:21:15 PM     all     23.53      0.00      3.21      1.07      0.53     71.66
03:21:16 PM     all     25.46      0.00      3.18      0.80      0.00     70.56
03:21:17 PM     all     24.74      0.00      4.21      1.32      0.26     69.47
03:21:18 PM     all     16.89      0.00      1.34      0.80      0.54     80.43
03:21:19 PM     all     21.49      0.00      3.18      1.06      0.27     74.01
03:21:20 PM     all     25.20      0.00      3.94      1.05      0.00     69.82
03:21:21 PM     all     32.02      0.00      5.25      0.79      0.52     61.42
03:21:22 PM     all     23.76      0.00     12.27     10.18      0.00     53.79
03:21:23 PM     all      3.54      0.00     22.22     23.99      0.00     50.25
03:21:24 PM     all      2.27      0.00     22.92     24.43      0.25     50.13
03:21:25 PM     all      2.78      0.00     22.73     24.49      0.00     50.00
03:21:26 PM     all      2.76      0.00     22.61     24.37      0.25     50.00
03:21:27 PM     all      2.78      0.00     22.73     24.49      0.00     50.00
03:21:28 PM     all      2.78      0.00     22.78     24.30      0.00     50.13
03:21:29 PM     all      3.03      0.00     22.47     24.49      0.00     50.00
03:21:30 PM     all     10.54      0.00      9.51     20.31      0.26     59.38
03:21:31 PM     all     13.77      0.00      1.56      1.30      0.26     83.12
03:21:32 PM     all     22.45      0.00      2.35      1.57      0.26     73.37
03:21:33 PM     all     25.13      0.00      4.19      1.31      0.26     69.11
03:21:34 PM     all     19.59      0.00      3.09      1.03      0.52     75.77
03:21:35 PM     all     14.62      0.00      2.61     14.36      0.00     68.41
03:21:36 PM     all     11.31      0.00      2.83     23.14      0.26     62.47
03:21:37 PM     all     16.09      0.00      1.58      8.18      0.26     73.88
03:21:38 PM     all     25.92      0.00      5.24      1.31      0.26     67.28
03:21:39 PM     all     26.11      0.00      3.92      0.78      0.26     68.93
03:21:40 PM     all     24.94      0.00      3.90      0.78      0.00     70.39
03:21:41 PM     all     13.42      0.00      1.32      0.79      0.26     84.21
03:21:42 PM     all     25.65      0.00      2.88      1.05      0.26     70.16
03:21:43 PM     all     24.67      0.00      4.20      0.79      0.26     70.08
03:21:44 PM     all     28.02      0.00      3.08      0.77      0.26     67.87
03:21:45 PM     all     25.73      0.00      3.71      0.80      0.00     69.76
03:21:46 PM     all     24.47      0.00      4.21      1.05      0.53     69.74
03:21:47 PM     all     19.53      0.00      2.37      1.06      0.00     77.04
03:21:48 PM     all     20.21      0.00      3.41      1.05      0.26     75.07
03:21:49 PM     all     27.20      0.00      3.73      1.07      0.27     67.73
03:21:50 PM     all     28.04      0.00      3.17      0.79      0.26     67.72
03:21:51 PM     all     26.19      0.00      3.17      0.79      0.26     69.58
03:21:52 PM     all     25.13      0.00      4.23      0.53      0.26     69.84
03:21:53 PM     all     21.73      0.00      3.14      1.05      0.26     73.82
03:21:54 PM     all     17.38      0.00      2.41      1.07      0.27     78.88
03:21:55 PM     all     29.06      0.00      4.45      0.79      0.00     65.71
03:21:56 PM     all     24.93      0.00      4.51      1.06      0.27     69.23
03:21:57 PM     all     24.40      0.00      2.95      1.34      0.54     70.78
03:21:58 PM     all     26.61      0.00      2.96      0.81      0.00     69.62
03:21:59 PM     all     22.31      0.00      3.49      0.81      0.27     73.12
03:22:00 PM     all     14.86      0.00      1.62      1.08      0.27     82.16
03:22:01 PM     all     23.70      0.00      4.69      0.78      0.26     70.57
03:22:02 PM     all     23.58      0.00      3.52      0.81      0.27     71.82
03:22:03 PM     all     26.13      0.00      3.73      0.53      0.27     69.33
03:22:04 PM     all     28.42      0.00      2.89      1.32      0.26     67.11
03:22:05 PM     all     26.32      0.00      3.16      1.05      0.26     69.21
03:22:06 PM     all     17.94      0.00      2.11      1.06      0.26     78.63
03:22:07 PM     all     16.01      0.00      2.62     18.37      0.26     62.73
03:22:08 PM     all     12.34      0.00     10.03     23.39      0.00     54.24
03:22:09 PM     all      6.92      0.00      2.56     26.15      0.26     64.10
03:22:10 PM     all      6.43      0.00      0.77     26.99      0.00     65.81
03:22:11 PM     all      2.80      0.00      0.25     25.95      0.25     70.74
03:22:12 PM     all      7.20      0.00      0.77     25.45      0.00     66.58
03:22:13 PM     all      6.96      0.00      1.03     26.03      0.26     65.72
