Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

03:52:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:52:45 PM     all      0.25      0.00      0.50     13.35      0.00     85.89
03:52:46 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:52:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:52:48 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:52:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:52:50 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:52:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:52:52 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:52:53 PM     all      3.22      0.00      1.07      0.27      0.27     95.17
03:52:54 PM     all      5.88      0.00      1.87      0.80      0.27     91.18
03:52:55 PM     all      5.88      0.00      1.60      0.80      0.27     91.44
03:52:56 PM     all      6.42      0.00      1.34      0.53      0.53     91.18
03:52:57 PM     all      4.57      0.00      2.42      0.81      0.27     91.94
03:52:58 PM     all      5.98      0.00      1.09      0.82      0.27     91.85
03:52:59 PM     all      6.28      0.00      1.37      0.55      0.55     91.26
03:53:00 PM     all     12.50      0.00      2.45      1.09      0.27     83.70
03:53:01 PM     all     12.60      0.00      3.67      1.05      0.26     82.41
03:53:02 PM     all     11.68      0.00      2.99      0.54      0.54     84.24
03:53:03 PM     all     10.84      0.00      2.17      0.81      0.54     85.64
03:53:04 PM     all     13.40      0.00      3.75      0.80      0.54     81.50
03:53:05 PM     all     12.50      0.00      1.90      0.82      0.00     84.78
03:53:06 PM     all     15.05      0.00      2.15      0.81      0.54     81.45
03:53:07 PM     all     12.37      0.00      1.88      0.54      0.54     84.68
03:53:08 PM     all      6.81      0.00      2.18      0.82      0.00     90.19
03:53:09 PM     all     11.89      0.00      2.97      0.81      0.54     83.78
03:53:10 PM     all     12.87      0.00      1.88      0.80      0.27     84.18
03:53:11 PM     all     12.83      0.00      2.41      0.80      0.27     83.69
03:53:12 PM     all     10.51      0.00      2.16      1.08      0.54     85.71
03:53:13 PM     all     11.59      0.00      2.70      0.54      0.27     84.91
03:53:14 PM     all     11.70      0.00      2.13      1.06      0.27     84.84
