Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

04:14:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:14:37 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
04:14:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:14:39 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
04:14:40 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
04:14:41 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
04:14:42 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
04:14:43 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
04:14:44 PM     all      1.60      0.00      0.27      0.27      0.27     97.60
04:14:45 PM     all      2.17      0.00      0.27      0.81      0.54     96.21
04:14:46 PM     all      1.64      0.00      0.55      0.27      0.27     97.27
04:14:47 PM     all      1.64      0.00      0.82      0.82      0.27     96.45
04:14:48 PM     all      1.64      0.00      0.82      0.55      0.55     96.44
04:14:49 PM     all      2.75      0.00      0.27      0.55      0.00     96.43
04:14:50 PM     all      1.37      0.00      1.65      0.55      0.55     95.88
04:14:51 PM     all     20.11      0.00      4.13      3.86      0.55     71.35
04:14:52 PM     all      2.54      0.00     23.10     23.60      0.25     50.51
04:14:53 PM     all      2.68      0.00      6.70      8.04      0.27     82.31
04:14:54 PM     all      1.92      0.00      0.27      0.82      0.00     96.98
04:14:55 PM     all      1.91      0.00      1.09      0.27      0.55     96.17
04:14:56 PM     all      1.64      0.00      0.27      0.55      0.55     96.99
04:14:57 PM     all      2.19      0.00      0.27      0.55      0.00     96.99
04:14:58 PM     all      2.71      0.00      0.81      0.81      0.54     95.12
04:14:59 PM     all      2.19      0.00      0.82      0.82      0.55     95.62
04:15:00 PM     all      1.64      0.00      1.10      0.82      0.55     95.89
04:15:01 PM     all      2.19      0.00      1.09      0.27      0.27     96.17
04:15:02 PM     all      3.74      0.00      1.34      0.80      0.53     93.58
04:15:03 PM     all      2.20      0.00      1.10      0.55      0.28     95.87
04:15:04 PM     all      1.65      0.00      1.10      0.82      0.55     95.88
04:15:05 PM     all      0.55      0.00      1.64      1.10      0.55     96.16
04:15:06 PM     all      1.64      0.00      1.09      0.82      0.27     96.17
04:15:07 PM     all      1.38      0.00      1.10      0.83      0.28     96.42
04:15:08 PM     all      1.37      0.00      0.55      0.82      0.55     96.70
04:15:09 PM     all      3.01      0.00      0.55      0.55      0.55     95.34
04:15:10 PM     all      2.49      0.00      0.83      0.83      0.28     95.58
04:15:11 PM     all      3.79      0.00      1.63      0.81      0.54     93.22
04:15:12 PM     all      3.31      0.00      0.55      1.10      0.55     94.49
04:15:13 PM     all      4.10      0.00      1.64      0.82      0.27     93.17
04:15:14 PM     all      3.55      0.00      1.64      0.82      0.55     93.44
04:15:15 PM     all      4.70      0.00      1.10      0.83      0.28     93.09
04:15:16 PM     all      2.19      0.00      1.37      0.82      0.55     95.07
04:15:17 PM     all      5.46      0.00      1.64      0.82      0.27     91.80
04:15:18 PM     all      1.91      0.00      1.37      0.82      0.55     95.36
04:15:19 PM     all      7.34      0.00      1.09      0.54      0.54     90.49
04:15:20 PM     all      2.75      0.00      1.10      0.55      0.27     95.33
04:15:21 PM     all      5.15      0.00      7.32     13.55      0.27     73.71
04:15:22 PM     all      2.67      0.00      7.47      9.07      0.53     80.27
04:15:23 PM     all      3.53      0.00      1.36      0.54      0.27     94.29
04:15:24 PM     all      3.56      0.00      1.64      0.55      0.27     93.97
04:15:25 PM     all      1.88      0.00      1.08      0.81      0.54     95.70
04:15:26 PM     all      4.86      0.00      1.08      0.27      0.27     93.51
04:15:27 PM     all      1.08      0.00      0.81      0.54      0.27     97.30
04:15:28 PM     all      4.62      0.00      1.90      0.54      0.54     92.39
04:15:29 PM     all      2.74      0.00      1.64      0.82      0.27     94.52
04:15:30 PM     all      4.68      0.00      1.38      0.83      0.55     92.56
04:15:31 PM     all      2.73      0.00      0.27      0.82      0.27     95.90
