Linux 4.4.0-53-generic (ip-172-31-14-80) 	01/03/2017 	_x86_64_	(4 CPU)

04:53:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:53:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:36 PM     all      0.25      0.00      0.25      0.00      0.25     99.26
04:53:37 PM     all      0.25      0.00      0.00      0.25      0.00     99.50
04:53:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:39 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
04:53:40 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
04:53:41 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
04:53:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:43 PM     all      0.51      0.00      0.00      0.00      0.00     99.49
04:53:44 PM     all      0.26      0.00      0.26      0.00      0.26     99.21
04:53:45 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:53:46 PM     all      0.26      0.00      0.00      0.00      0.26     99.47
04:53:47 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:53:48 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:53:49 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:53:50 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:53:51 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:53:52 PM     all      0.27      0.00      0.27      0.27      0.27     98.94
04:53:53 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:53:54 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:53:55 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:53:56 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:53:57 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:53:58 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:53:59 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:00 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:01 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:02 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:03 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:04 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:05 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:06 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:07 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:54:08 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:54:09 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:10 PM     all      0.27      0.00      0.27      0.00      0.00     99.47
04:54:11 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:12 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:13 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:14 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:54:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:16 PM     all      0.27      0.00      0.00      0.00      0.53     99.20
04:54:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:18 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:54:19 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:54:20 PM     all      0.27      0.00      0.27      0.00      0.00     99.46
04:54:21 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:22 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:54:23 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:24 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:25 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:26 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:27 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:54:28 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:29 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:30 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:31 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:33 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:54:34 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:35 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:36 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:54:37 PM     all      0.54      0.00      0.00      0.27      0.27     98.93
04:54:38 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:39 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:40 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:41 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:54:42 PM     all      0.00      0.00      0.00      0.00      0.54     99.46
04:54:43 PM     all      0.27      0.00      0.27      0.00      0.00     99.46
04:54:44 PM     all      0.53      0.00      0.00      0.00      0.53     98.93
04:54:45 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:54:46 PM     all      0.27      0.00      0.00      0.00      0.54     99.20
04:54:47 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:54:48 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:49 PM     all      0.27      0.00      0.00      0.27      0.27     99.20
04:54:50 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:51 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:52 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:54:53 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:54 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:54:55 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:56 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:54:57 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:54:58 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:54:59 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:00 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:01 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:02 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:03 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:04 PM     all      0.54      0.00      0.00      0.00      0.27     99.20
04:55:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:55:06 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:07 PM     all      0.54      0.00      0.00      0.00      0.27     99.19
04:55:08 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:55:09 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:10 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:11 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:55:13 PM     all      0.00      0.00      0.00      0.00      0.53     99.47
04:55:14 PM     all      0.54      0.00      0.27      0.00      0.00     99.20
04:55:15 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:55:16 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:17 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:18 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:19 PM     all      0.27      0.00      0.00      0.27      0.00     99.47
04:55:20 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:55:21 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:22 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:23 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:24 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:25 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:26 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:27 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:28 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:55:29 PM     all      0.00      0.00      0.27      0.00      0.53     99.20
04:55:30 PM     all      0.27      0.00      0.27      0.00      0.00     99.46
04:55:31 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:32 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:33 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:34 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:35 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:36 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:37 PM     all      0.54      0.00      0.27      0.27      0.00     98.93
04:55:38 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:39 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:40 PM     all      0.27      0.00      0.27      0.00      0.53     98.94
04:55:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:55:42 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:43 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:44 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:45 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:55:47 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:48 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:49 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:50 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:55:51 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:55:52 PM     all      0.53      0.00      0.53      0.00      0.27     98.67
04:55:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:55:54 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:55 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:55:56 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:55:57 PM     all      0.27      0.00      0.00      0.27      0.27     99.20
04:55:58 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:55:59 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:00 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:01 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:56:02 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:56:03 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:56:04 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:05 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:06 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:07 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:56:08 PM     all      0.27      0.00      0.00      0.00      0.53     99.20
04:56:09 PM     all      0.27      0.00      0.27      0.00      0.00     99.47
04:56:10 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:56:11 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:56:12 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:56:13 PM     all      0.27      0.00      0.00      0.00      0.27     99.46
04:56:14 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:56:15 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:56:16 PM     all      0.27      0.00      0.00      0.00      0.00     99.73
04:56:17 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:56:18 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:19 PM     all      0.00      0.00      0.27      0.00      0.27     99.47
04:56:20 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:21 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
04:56:22 PM     all      0.27      0.00      0.27      0.27      0.27     98.94
04:56:23 PM     all      0.00      0.00      0.00      0.00      0.27     99.73
04:56:24 PM     all      0.27      0.00      0.27      0.00      0.27     99.20
04:56:25 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
04:56:26 PM     all      0.00      0.00      0.27      0.00      0.27     99.46
04:56:27 PM     all      0.27      0.00      0.00      0.00      0.27     99.47
